simulation,generation,round,trial,referent,speaker,listener,lexeme,type,produced_x,produced_y,prob,evidence,success,old_guess_A,new_guess_A,old_guess_B,new_guess_B,old_stored_y_A,old_stored_y_B,new_stored_y_A,new_stored_y_B
1,2,4,4,1,B,A,A,small,-0.006698863905989517,0,0.8948663194003255,1,1,0.4948663194003253,0.9049899922326775,0.6571825746432386,0.6571825746432386,0.12774239304818721,0.12774239304818721,0.063871196524093607,0.063871196524093607
1,2,5,1,3,A,B,C,small,0.6841550200623729,0.0736785655299605,0.42400989040913367,0.5844021603908413,0,0.9550811584492837,0.9550811584492837,0.19024902625279724,0.4276773845918141,0.004200096010389391,0.004200096010389391,0.004200096010389391,0.004200096010389391
1,2,5,2,4,B,A,D,large,1.0017868187612966,0.39659818509697536,0,0,0,0,0,0.2682404908513005,0.2682404908513005,0.4014705620931406,0.4014705620931406,0.4014705620931406,0.4014705620931406
1,2,5,3,1,B,A,A,small,-0.0011910551303605538,0.11214440814921252,0.9499999999999998,0.39057353921928295,1,0.9049899922326775,0.9550811584492837,0.6571825746432386,0.6571825746432386,0.063871196524093607,0.063871196524093607,0.08800780233665306,0.08800780233665306
1,2,5,4,2,A,B,B,large,0.3303054267561063,0.2911845480233545,0.44294849685034154,0,0,0.22592750371700868,0.22592750371700868,0.44294849685034154,0.4466527743041776,0.3414783526488841,0.3414783526488841,0.3414783526488841,0.3414783526488841
1,2,6,1,3,B,A,C,small,0.6592168951610585,0.19600484134307308,0.9499999999999998,0.016311350633044796,1,0.9550811584492837,0.9550811584492837,0.4276773845918141,0.4276773845918141,0.004200096010389391,0.004200096010389391,0.10010246867673124,0.10010246867673124
1,2,6,2,4,B,A,D,large,1.006047091827523,0.37794714008609437,0,0,0,0,0,0.2682404908513005,0.2682404908513005,0.4014705620931406,0.4014705620931406,0.4014705620931406,0.4014705620931406
1,2,6,3,2,A,B,B,large,0.3297823842987539,0.35693398327318687,0.4466527743041776,0,1,0.22592750371700868,0.22592750371700868,0.4466527743041776,0.4745958446759907,0.3414783526488841,0.3414783526488841,0.3492061679610355,0.3492061679610355
1,2,6,4,1,A,B,A,small,0.005599833226615556,0.14312778626260306,0.7551570998025868,0.24493631289837056,1,0.9550811584492837,0.9550811584492837,0.6571825746432386,0.7753566399070032,0.08800780233665306,0.08800780233665306,0.11556779429962806,0.11556779429962806
1,2,7,1,3,B,A,C,small,0.6697595304479874,0.19189652528234696,0.9499999999999998,0.033221175152474886,1,0.9550811584492837,0.9550811584492837,0.4276773845918141,0.4276773845918141,0.10010246867673124,0.10010246867673124,0.1459994969795391,0.1459994969795391
1,2,7,2,2,B,A,B,large,0.32528521954718415,0.8196198211158748,0.25847543115526794,0.08136981859564812,0,0.22592750371700868,0.26136081867376565,0.4745958446759907,0.4745958446759907,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,2,7,3,4,A,B,D,large,1.004153400203872,0.556566336194054,0.2682404908513005,0,1,0,0,0.2682404908513005,0.2908894812739891,0.4014705620931406,0.4014705620931406,0.4790184491435973,0.4790184491435973
1,2,7,4,1,A,B,A,small,-0.018220607490443276,0.24463257225831567,0.7753566399070032,0,1,0.9550811584492837,0.9550811584492837,0.7753566399070032,0.7943435554708677,0.11556779429962806,0.11556779429962806,0.18010018327897187,0.18010018327897187
1,2,8,1,3,B,A,C,small,0.6647813309672581,0.44813304636431056,0.9499999999999998,0,1,0.9550811584492837,0.9550811584492837,0.4276773845918141,0.4276773845918141,0.1459994969795391,0.1459994969795391,0.29706627167192484,0.29706627167192484
1,2,8,2,2,A,B,B,large,0.3311481780317832,0,0.07459584467599067,-1,0,0.26136081867376565,0.26136081867376565,0.4745958446759907,0.07563794440954368,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,2,8,3,1,A,B,A,small,-0.0036608503612543634,0.2078735371622931,0.7943435554708677,0,1,0.9550811584492837,0.9550811584492837,0.7943435554708677,0.8121145641290562,0.18010018327897187,0.18010018327897187,0.1939868602206325,0.1939868602206325
1,2,8,4,4,B,A,D,large,0.9949329048717205,0.5270533082145796,0,0,0,0,0,0.2908894812739891,0.2908894812739891,0.4790184491435973,0.4790184491435973,0.4790184491435973,0.4790184491435973
1,2,9,1,4,B,A,D,large,0.9907634249760777,0.4140962174973945,0,0,0,0,0,0.2908894812739891,0.2908894812739891,0.4790184491435973,0.4790184491435973,0.4790184491435973,0.4790184491435973
1,2,9,2,2,B,A,B,large,0.33802253808463956,0,0,-1,0,0.26136081867376565,0,0.07563794440954368,0.07563794440954368,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,2,9,3,3,A,B,C,small,0.6658116328211321,0.22346862840793696,0.4276773845918141,0,0,0.9550811584492837,0.9550811584492837,0.4276773845918141,0.43135284454986095,0.29706627167192484,0.29706627167192484,0.29706627167192484,0.29706627167192484
1,2,9,4,1,A,B,A,small,0.01195375976334533,0.2036450948179017,0.8121145641290564,0,1,0.9550811584492837,0.9550811584492837,0.8121145641290562,0.8286811506583792,0.1939868602206325,0.1939868602206325,0.1988159775192671,0.1988159775192671
1,2,10,1,4,B,A,D,large,1.0041027397623772,0.95887942323281,0.3042099083585698,0.7605247708964245,0,0,0.30739419402740675,0.2908894812739891,0.2908894812739891,0.4790184491435973,0.4790184491435973,0.4790184491435973,0.4790184491435973
1,2,10,2,3,A,B,C,small,0.6795789114570467,0.1573431713242169,0.5037840215910783,0.18107794260304322,1,0.9550811584492837,0.9550811584492837,0.43135284454986095,0.5318658449210196,0.29706627167192484,0.29706627167192484,0.22720472149807086,0.22720472149807086
1,2,10,3,2,B,A,B,large,0.32897896308885455,0.48828116193926646,0,0,0,0,0,0.07563794440954368,0.07563794440954368,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,2,10,4,1,A,B,A,small,-0.005695125507924701,0.26077006795373203,0.8286811506583792,0,1,0.9550811584492837,0.9550811584492837,0.8286811506583792,0.8440674709422088,0.1988159775192671,0.1988159775192671,0.22979302273649957,0.22979302273649957
1,3,1,1,2,B,A,B,large,0.3280315230505638,0,0,-1,0,0.23827846811422898,0,0.16591181560048426,0.16591181560048426,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,1,2,4,A,B,D,large,0.9875511003094093,0,0,-1,0,0.2640479351150054,0.2640479351150054,0.19771719400619067,0,0.4790184491435973,0.4790184491435973,0.4790184491435973,0.4790184491435973
1,3,1,3,1,B,A,A,small,0.0016890428705285444,0.13832405705246964,0.16673640106845744,0.26692932233197963,0,0.059964672135665587,0.16883086251826926,0.5219967715110726,0.5219967715110726,0.22979302273649957,0.22979302273649957,0.22979302273649957,0.22979302273649957
1,3,1,4,3,A,B,C,small,0.6590431785200839,0,0.4802923691897386,1,1,0.5274517810569841,0.5274517810569841,0.08029236918973857,0.5084063617817768,0.22720472149807086,0.22720472149807086,0.11360236074903543,0.11360236074903543
1,3,2,1,4,B,A,D,large,0.9991370936545575,0.9544358343399545,0.5583703538079343,0.7358060467323222,1,0.2640479351150054,0.5859022312457529,0,0,0.4790184491435973,0.4790184491435973,0.7167271417417759,0.7167271417417759
1,3,2,2,1,A,B,A,small,0.011230103769205824,0.26065902559048876,0.5219967715110726,0,1,0.16883086251826926,0.16883086251826926,0.5219967715110726,0.549968621980593,0.22979302273649957,0.22979302273649957,0.24522602416349415,0.24522602416349415
1,3,2,3,2,B,A,B,large,0.30761358367392266,0.7650634035088905,0,0,0,0,0,0.16591181560048426,0.16591181560048426,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,2,4,3,A,B,C,small,0.664337514672462,0,0.9084063617817767,1,1,0.5274517810569841,0.5274517810569841,0.5084063617817768,0.9173466442984596,0.11360236074903543,0.11360236074903543,0.056801180374517715,0.056801180374517715
1,3,3,1,3,B,A,C,small,0.6580381558989564,0.19504037470778682,0.5355592302877329,0.020268623076872074,0,0.5274517810569841,0.5392882044950602,0.9173466442984596,0.9173466442984596,0.056801180374517715,0.056801180374517715,0.056801180374517715,0.056801180374517715
1,3,3,2,4,A,B,D,large,0.9942319244356738,0.7374245124580406,0,0,0,0.5859022312457529,0.5859022312457529,0,0,0.7167271417417759,0.7167271417417759,0.7167271417417759,0.7167271417417759
1,3,3,3,2,A,B,B,large,0.33585997180203786,0.30687451675451405,0.16591181560048426,0,0,0,0,0.16591181560048426,0.16799800734036566,0.3492061679610355,0.3492061679610355,0.3492061679610355,0.3492061679610355
1,3,3,4,1,B,A,A,small,0.007506665144625782,0.19864999666525454,0.17102973946219252,0.005497192359808235,0,0.16883086251826926,0.1731669239574622,0.549968621980593,0.549968621980593,0.24522602416349415,0.24522602416349415,0.24522602416349415,0.24522602416349415
1,3,4,1,1,A,B,A,small,-0.008929063125723072,0,0.9499686219805931,1,1,0.1731669239574622,0.1731669239574622,0.549968621980593,0.9550528182956496,0.24522602416349415,0.24522602416349415,0.12261301208174707,0.12261301208174707
